close_date,open,high,low,close,volume,bull_7_0.10,bear_7_0.10,bull_7_0.15,bear_7_0.15,bull_7_0.20,bear_7_0.20,bull_7_0.25,bear_7_0.25,bull_7_0.30,bear_7_0.30,bull_8_0.10,bear_8_0.10,bull_8_0.15,bear_8_0.15,bull_8_0.20,bear_8_0.20,bull_8_0.25,bear_8_0.25,bull_8_0.30,bear_8_0.30,bull_9_0.10,bear_9_0.10,bull_9_0.15,bear_9_0.15,bull_9_0.20,bear_9_0.20,bull_9_0.25,bear_9_0.25,bull_9_0.30,bear_9_0.30,bull_10_0.10,bear_10_0.10,bull_10_0.15,bear_10_0.15,bull_10_0.20,bear_10_0.20,bull_10_0.25,bear_10_0.25,bull_10_0.30,bear_10_0.30,bull_11_0.10,bear_11_0.10,bull_11_0.15,bear_11_0.15,bull_11_0.20,bear_11_0.20,bull_11_0.25,bear_11_0.25,bull_11_0.30,bear_11_0.30,bull_12_0.10,bear_12_0.10,bull_12_0.15,bear_12_0.15,bull_12_0.20,bear_12_0.20,bull_12_0.25,bear_12_0.25,bull_12_0.30,bear_12_0.30,bull_13_0.10,bear_13_0.10,bull_13_0.15,bear_13_0.15,bull_13_0.20,bear_13_0.20,bull_13_0.25,bear_13_0.25,bull_13_0.30,bear_13_0.30,bull_14_0.10,bear_14_0.10,bull_14_0.15,bear_14_0.15,bull_14_0.20,bear_14_0.20,bull_14_0.25,bear_14_0.25,bull_14_0.30,bear_14_0.30
2017-08-14,4261.48,4485.39,3850.0,4086.29,2843.431426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21,4069.13,4453.91,3400.0,4310.01,4599.396629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-28,4310.01,4939.19,4124.54,4509.08,4753.843376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-04,4505.0,4788.59,3603.0,4130.37,6382.787745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-11,4153.62,4394.59,2817.0,3699.99,8106.705127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-18,3690.0,4123.2,3505.55,3660.02,5908.32335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-25,3660.02,4406.52,3653.69,4378.48,5782.305424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,4400.0,4658.0,4110.0,4640.0,4708.272956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,4640.0,5922.3,4550.0,5709.99,7913.925837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-16,5710.0,6171.0,5037.95,5950.02,12157.769447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-23,5975.0,6189.88,5286.98,6169.98,13133.99457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-30,6133.01,7590.25,6030.0,7345.01,11663.209648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-06,7345.1,7770.02,5325.01,5811.03,18916.3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-13,5839.94,8123.15,5699.99,8038.0,19791.101011,98.9715,0.0,98.1783,0.0,97.3294,0.0,96.4185,0.0,95.4387,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-20,8057.11,9350.0,7801.0,9128.02,28921.859792,99.1814,0.0,98.5519,0.0,97.8798,0.0,97.1606,0.0,96.3891,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-27,9128.0,11825.0,8520.0,11165.41,48427.94965,99.3392,0.0,98.8312,0.0,98.2887,0.0,97.7084,0.0,97.0859,0.0,100.0,0.0,99.8369,0.0,99.337,0.0,98.8052,0.0,98.2385,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-04,11165.41,17204.99,10802.0,14899.98,72469.977627,99.5285,0.0,99.1672,0.0,98.7825,0.0,98.3721,0.0,97.9333,0.0,100.0,0.0,99.8791,0.0,99.5086,0.0,99.1146,0.0,98.6949,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-11,14946.26,19798.68,14666.56,18860.02,67851.486215,99.6652,0.0,99.4086,0.0,99.1356,0.0,98.8444,0.0,98.5333,0.0,100.0,0.0,99.912,0.0,99.6421,0.0,99.3549,0.0,99.0489,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.7402,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-18,18860.04,19300.0,10961.0,13500.0,135385.440322,99.651,0.0,99.3775,0.0,99.0806,0.0,98.757,0.0,97.4653,0.0,100.0,0.0,99.9122,0.0,99.6402,0.0,99.3462,0.0,99.0274,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.7366,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-25,13500.0,16498.05,11750.0,13716.36,116522.754321,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.7343,0.0,100.0,0.0,99.909,0.0,99.624,0.0,99.3105,0.0,98.9641,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.7324,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,13715.65,17176.24,12750.0,16150.03,120239.399359,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.7577,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.7403,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,16218.85,16322.3,11400.0,13474.99,137537.904565,98.2614,0.0,97.515,0.0,96.6891,0.0,95.7703,0.0,93.5594,0.0,99.7892,0.0,99.132,0.0,98.4133,0.0,97.6242,0.0,96.7537,0.0,100.0,0.0,100.0,0.0,99.6733,0.0,98.9744,0.0,98.2103,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.8007,0.0,99.0289,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
