date,7_0.10,7_0.15,7_0.20,7_0.25,8_0.10,8_0.15,8_0.20,8_0.25,9_0.10,9_0.15,9_0.20,9_0.25,10_0.10,10_0.15,10_0.20,10_0.25
2017-08-14,,,,,,,,,,,,,,,,
2017-08-21,,,,,,,,,,,,,,,,
2017-08-28,,,,,,,,,,,,,,,,
2017-09-04,,,,,,,,,,,,,,,,
2017-09-11,,,,,,,,,,,,,,,,
2017-09-18,,,,,,,,,,,,,,,,
2017-09-25,,,,,,,,,,,,,,,,
2017-10-02,,,,,,,,,,,,,,,,
2017-10-09,,,,,,,,,,,,,,,,
2017-10-16,,,,,,,,,,,,,,,,
2017-10-23,,,,,,,,,,,,,,,,
2017-10-30,,,,,,,,,,,,,,,,
2017-11-06,,,,,,,,,,,,,,,,
2017-11-13,,,,,,,,,,,,,,,,
2017-11-20,0,0,0,0,,,,,,,,,,,,
2017-11-27,0,0,0,0,,,,,,,,,,,,
2017-12-04,0,0,0,0,0,0,0,0,,,,,,,,
2017-12-11,0,0,0,0,0,0,0,0,,,,,,,,
2017-12-18,32,32,32,32,0,0,32,32,0,0,0,0,,,,
2017-12-25,0,0,0,0,0,32,32,32,0,0,0,0,,,,
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-08,32,32,32,32,32,32,32,32,0,0,32,32,0,0,0,32
2018-01-15,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
2018-01-22,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2018-01-29,40,40,40,40,32,32,32,32,32,32,32,32,32,32,32,32
2018-02-05,32,32,32,32,40,40,40,40,32,32,32,32,32,32,32,32
2018-02-12,32,32,32,32,32,32,32,32,40,40,40,40,32,32,32,32
2018-02-19,96,96,96,96,32,32,32,32,32,32,32,32,32,32,32,32
2018-02-26,17,17,17,17,32,32,32,32,32,32,32,32,40,40,40,40
2018-03-05,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32
2018-03-12,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2018-03-19,16,16,16,16,32,32,32,32,32,0,0,0,32,32,32,32
2018-03-26,16,16,16,16,16,16,16,16,32,32,32,32,32,32,32,32
2018-04-02,32,32,32,32,16,16,16,16,16,16,16,16,32,32,32,32
2018-04-09,16,16,16,16,16,16,0,0,16,16,16,16,16,16,16,16
2018-04-16,32,32,32,32,16,16,16,16,16,16,16,16,16,16,16,16
2018-04-23,16,16,16,16,32,32,0,0,16,16,16,16,16,16,16,16
2018-04-30,16,16,16,16,16,16,16,16,0,0,0,0,16,16,16,16
2018-05-07,16,16,16,16,16,16,16,16,16,16,16,16,32,32,32,32
2018-05-14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2018-05-21,20,20,20,20,16,16,16,16,16,0,0,0,16,16,16,16
2018-05-28,40,40,40,40,16,16,16,16,16,16,16,16,16,16,16,16
2018-06-04,32,32,32,32,32,32,32,32,16,16,16,16,16,16,16,16
2018-06-11,32,32,32,32,32,32,32,32,32,32,32,32,16,16,16,16
2018-06-18,96,96,96,96,32,32,32,32,32,32,32,32,32,32,32,32
2018-06-25,0,0,0,0,96,96,96,96,32,32,32,32,32,32,32,32
2018-07-02,0,0,0,0,0,0,0,0,96,96,96,96,32,32,32,32
2018-07-09,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96
2018-07-16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2018-07-23,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2018-07-30,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2018-08-06,16,16,16,16,16,16,16,16,16,16,16,16,32,0,0,0
2018-08-13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2018-08-20,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2018-08-27,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16
2018-09-03,40,40,40,40,32,32,32,32,32,32,32,32,16,16,16,16
2018-09-10,32,32,32,32,32,32,32,32,16,16,16,16,16,16,16,16
2018-09-17,16,16,16,16,32,32,32,32,32,32,32,32,16,16,16,16
2018-09-24,16,16,16,16,16,16,16,16,32,32,32,32,32,32,32,32
2018-10-01,16,16,16,16,16,16,16,16,16,16,16,16,32,32,32,32
2018-10-08,32,32,32,32,16,16,16,16,16,16,16,16,32,32,32,0
2018-10-15,96,96,96,96,16,16,16,16,16,16,16,16,16,16,16,16
2018-10-22,16,16,16,16,96,96,96,96,16,16,16,16,16,16,16,16
2018-10-29,16,16,16,16,16,16,16,16,96,96,96,96,16,16,16,16
2018-11-05,0,0,0,0,16,16,16,16,16,16,16,16,96,96,96,96
2018-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-04,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-11,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-18,17,17,17,17,16,16,16,16,0,0,0,16,0,0,0,0
2019-02-25,16,16,16,16,17,17,17,17,17,16,16,16,16,16,16,16
2019-03-04,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17
2019-03-11,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16
2019-03-18,16,16,144,144,16,16,16,16,16,16,16,16,16,16,16,16
2019-03-25,16,16,0,0,20,20,20,20,16,16,16,16,16,16,16,16
2019-04-01,144,144,0,0,16,16,16,16,20,20,20,20,20,20,20,20
2019-04-08,0,0,0,0,144,144,144,144,16,16,16,16,16,16,16,16
2019-04-15,0,0,0,0,0,0,0,0,16,16,16,144,16,16,16,16
2019-04-22,0,0,0,0,0,0,0,0,144,144,144,0,16,16,16,16
2019-04-29,0,0,0,0,0,0,0,0,0,0,0,0,144,144,144,144
2019-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
