date,open,high,low,close,volume,pct_change,ema12,ema20,ema26,az_bullish,adx14,di_plus,di_minus,big_swing_high,big_swing_low,big_pivot_label,big_break,small_swing_high,small_swing_low,small_pivot_label,small_break,structure_action,a_liquidate_price,a_pct_liquidate,a_leverage,a_position_size,a_notional,a_total,a_pnl,a_pct_pnl,a_margin,a_position,a_unrealized,a_realized,a_action,b_liquidate_price,b_pct_liquidate,b_leverage,b_position_size,b_notional,b_total,b_pnl,b_pct_pnl,b_margin,b_position,b_unrealized,b_realized,b_action
2022-07-10,243.3,243.5,231.7,234.7,396712.24,-3.53,233.76,234.7,238.05,False,23.79,19.13,21.75,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-11,234.7,235.0,225.1,225.6,419335.07,-3.88,232.5,233.84,237.13,False,23.09,18.16,24.02,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-12,225.7,228.3,220.2,220.6,410220.07,-2.22,230.67,232.57,235.9,False,22.8,17.38,25.58,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-13,220.6,231.3,216.4,230.5,714589.61,4.49,230.65,232.38,235.5,False,22.81,16.03,25.57,,,,,,216.4,HL,,SMALL HH confirmed @ 247.70,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-14,230.5,240.0,227.1,238.5,577524.87,3.47,231.85,232.96,235.72,False,21.9,19.51,23.84,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-15,238.6,242.7,235.4,238.5,446513.82,0.0,232.88,233.49,235.93,False,20.78,20.2,22.9,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-16,238.6,251.5,233.9,249.8,423399.99,4.74,235.48,235.04,236.96,False,19.66,22.99,20.76,,,,,,,,BULL_CHOCH,SMALL BULL CHOCH @ 249.80 (level 247.70),124.9,-50.0,1.0,8.006405,2000.0,2000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,"ENTRY @ 249.80 (small green CHoCH, margin $1000.00 [50% of bank] @ 2x [ADX 19.7, zone red], 8.006405 units)",,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-17,249.8,256.1,246.4,247.8,436448.55,-0.8,237.38,236.26,237.76,False,19.0,24.27,19.67,,,,,,,,,,124.9,-49.6,1.0,8.006405,1983.99,1983.99,-16.01,-0.8,983.99,991.99,-8.01,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-18,247.8,265.6,247.6,264.1,747067.03,6.58,241.49,238.91,239.71,True,19.11,26.98,17.8,,,,,,,,,SMALL HL confirmed @ 216.40,124.9,-52.71,1.0,8.006405,2114.49,2114.49,130.5,6.58,1114.49,1057.25,57.25,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-19,264.1,274.8,255.8,268.6,946386.94,1.7,245.66,241.74,241.85,True,19.8,29.07,16.07,,,,,274.8,,HH,,,124.9,-53.5,1.0,8.006405,2150.52,2150.52,36.03,1.7,1150.52,1075.26,75.26,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
