date,cash,total,pnl,pct_pnl,btc_close,btc_leverage,btc_position_size,btc_margin,btc_liquidate_price,btc_pct_liquidate,btc_action,eth_close,eth_leverage,eth_position_size,eth_margin,eth_liquidate_price,eth_pct_liquidate,eth_action,bnb_close,bnb_leverage,bnb_position_size,bnb_margin,bnb_liquidate_price,bnb_pct_liquidate,bnb_action,sol_close,sol_leverage,sol_position_size,sol_margin,sol_liquidate_price,sol_pct_liquidate,sol_action,xrp_close,xrp_leverage,xrp_position_size,xrp_margin,xrp_liquidate_price,xrp_pct_liquidate,xrp_action
2022-07-01,2000.0,2000.0,0.0,0.0,19279.8,,,,,,,1059.73,,,,,,,216.9,,,,,,,32.84,,,,,,,0.31,,,,,,
2022-07-02,2000.0,2000.0,0.0,0.0,19252.81,,,,,,,1067.01,,,,,,,218.3,,,,,,,33.36,,,,,,,0.32,,,,,,
2022-07-03,2000.0,2000.0,0.0,0.0,19315.83,,,,,,,1074.26,,,,,,,219.2,,,,,,,33.39,,,,,,,0.32,,,,,,
2022-07-04,2000.0,2000.0,0.0,0.0,20236.71,,,,,,,1151.0,,,,,,,231.5,,,,,,,36.71,,,,,,,0.33,,,,,,
2022-07-05,2000.0,2000.0,0.0,0.0,20175.83,,,,,,,1132.5,,,,,,,230.8,,,,,,,35.4,,,,,,,0.33,,,,,,
2022-07-06,2000.0,2000.0,0.0,0.0,20564.51,,,,,,,1186.57,,,,,,,238.6,,,,,,,37.04,,,,,,,0.33,,,,,,
2022-07-07,1400.0,2000.0,0.0,0.0,21624.98,2.0,0.036994,400.0,10812.49,-50.0,"ENTRY @ 21624.98 (small green CHoCH, margin $400.00 [20% of portfolio total $2000.00] @ 2x [ADX 39.8, zone red], 0.036994 units)",1237.49,,,,,,,241.4,,,,,,,38.46,,,,,,,0.34,2.0,1168.907072,200.0,0.17,-50.0,"ENTRY @ 0.34 (small green CHoCH, margin $200.00 [10% of portfolio total $2000.00] @ 2x [ADX 22.0, zone red], 1168.907072 units)"
2022-07-08,1400.0,1996.54,-3.46,-0.17,21594.75,2.0,0.036994,398.88,10812.49,-49.93,,1214.04,,,,,,,240.7,,,,,,,38.12,,,,,,,0.34,2.0,1168.907072,197.66,0.17,-49.71,
2022-07-09,1400.0,2001.81,5.27,0.26,21591.83,2.0,0.036994,398.77,10812.49,-49.92,,1217.02,,,,,,,243.3,,,,,,,38.06,,,,,,,0.34,2.0,1168.907072,203.04,0.17,-50.38,
2022-07-10,1400.0,1952.27,-49.54,-2.47,20862.47,2.0,0.036994,371.79,10812.49,-48.17,,1168.36,,,,,,,234.7,,,,,,,36.71,,,,,,,0.33,2.0,1168.907072,180.48,0.17,-47.43,
2022-07-11,1400.0,1906.98,-45.29,-2.32,19963.61,2.0,0.036994,338.54,10812.49,-45.84,,1096.4,,,,,,,225.6,,,,,,,33.42,,,,,,,0.32,2.0,1168.907072,168.44,0.17,-45.72,
2022-07-12,1400.0,1879.28,-27.69,-1.45,19328.75,2.0,0.036994,315.05,10812.49,-44.06,,1038.58,,,,,,,220.6,,,,,,,32.68,,,,,,,0.31,2.0,1168.907072,164.23,0.17,-45.09,
2022-07-13,1400.0,1926.95,47.67,2.54,20234.87,2.0,0.036994,348.57,10812.49,-46.57,,1115.0,,,,,,,230.5,,,,,,,34.94,,,,,,,0.32,2.0,1168.907072,178.38,0.17,-47.14,
2022-07-14,1400.0,1951.85,24.9,1.29,20588.84,2.0,0.036994,361.67,10812.49,-47.48,,1193.42,,,,,,,238.5,,,,,,,37.15,,,,,,,0.33,2.0,1168.907072,190.18,0.17,-48.74,
