date,cash,total,pnl,pct_pnl,btc_close,btc_leverage,btc_position_size,btc_margin,btc_liquidate_price,btc_pct_liquidate,btc_action,eth_close,eth_leverage,eth_position_size,eth_margin,eth_liquidate_price,eth_pct_liquidate,eth_action,bnb_close,bnb_leverage,bnb_position_size,bnb_margin,bnb_liquidate_price,bnb_pct_liquidate,bnb_action,sol_close,sol_leverage,sol_position_size,sol_margin,sol_liquidate_price,sol_pct_liquidate,sol_action,xrp_close,xrp_leverage,xrp_position_size,xrp_margin,xrp_liquidate_price,xrp_pct_liquidate,xrp_action
2022-12-29,2000.0,2000.0,0.0,0.0,16633.47,,,,,,,1200.49,,,,,,,246.3,,,,,,,9.64,,,,,,,0.34,,,,,,
2022-12-30,2000.0,2000.0,0.0,0.0,16607.48,,,,,,,1199.99,,,,,,,245.8,,,,,,,9.9,,,,,,,0.35,,,,,,
2022-12-31,2000.0,2000.0,0.0,0.0,16542.4,,,,,,,1196.13,,,,,,,246.3,,,,,,,9.97,,,,,,,0.34,,,,,,
2023-01-01,2000.0,2000.0,0.0,0.0,16616.75,,,,,,,1200.34,,,,,,,244.4,,,,,,,9.99,,,,,,,0.34,,,,,,
2023-01-02,2000.0,2000.0,0.0,0.0,16672.87,,,,,,,1214.0,,,,,,,245.2,,,,,,,11.28,,,,,,,0.35,,,,,,
2023-01-03,2000.0,2000.0,0.0,0.0,16675.18,,,,,,,1214.55,,,,,,,246.1,,,,,,,13.37,,,,,,,0.34,,,,,,
2023-01-04,1600.0,2000.0,0.0,0.0,16850.36,,,,,,,1256.9,2.0,0.318243,200.0,628.45,-50.0,"ENTRY @ 1256.90 (small green CHoCH, margin $200.00 [10% of portfolio total $2000.00] @ 2x [ADX 23.7, zone red], 0.318243 units)",258.9,2.0,1.544998,200.0,129.45,-50.0,"ENTRY @ 258.90 (small green CHoCH, margin $200.00 [10% of portfolio total $2000.00] @ 2x [ADX 37.6, zone red], 1.544998 units)",13.43,,,,,,,0.35,,,,,,
2023-01-05,1600.0,1994.8,-5.2,-0.26,16831.85,,,,,,,1251.24,2.0,0.318243,198.2,628.45,-49.77,,256.7,2.0,1.544998,196.6,129.45,-49.57,,13.43,,,,,,,0.34,,,,,,
2023-01-06,1600.0,2005.44,10.64,0.53,16950.65,,,,,,,1269.14,2.0,0.318243,203.9,628.45,-50.48,,259.9,2.0,1.544998,201.54,129.45,-50.19,,13.5,,,,,,,0.34,,,,,,
2023-01-07,1600.0,2005.99,0.55,0.03,16943.57,,,,,,,1264.07,2.0,0.318243,202.28,628.45,-50.28,,261.3,2.0,1.544998,203.71,129.45,-50.46,,13.1,,,,,,,0.34,,,,,,
2023-01-08,989.41,2035.3,29.31,1.46,17127.83,2.0,0.047532,407.06,8563.92,-50.0,"ENTRY @ 17127.83 (small green CHoCH, margin $407.06 [20% of portfolio total $2035.30] @ 2x [ADX 15.4, zone red], 0.047532 units)",1290.16,2.0,0.318243,210.58,628.45,-51.29,,274.9,2.0,1.544998,224.72,129.45,-52.91,,14.45,5.0,70.42577,203.53,11.56,-20.0,"ENTRY @ 14.45 (small green CHoCH, margin $203.53 [10% of portfolio total $2035.30] @ 5x [ADX 31.8, zone green], 70.425770 units)",0.35,,,,,,
2023-01-09,989.41,2170.54,135.23,6.64,17178.26,2.0,0.047532,409.46,8563.92,-50.15,,1320.39,2.0,0.318243,220.21,628.45,-52.4,,272.6,2.0,1.544998,221.17,129.45,-52.51,,16.25,5.0,70.42577,330.3,11.56,-28.86,,0.35,,,,,,
2023-01-10,989.41,2191.29,20.75,0.96,17440.66,2.0,0.047532,421.93,8563.92,-50.9,,1335.62,2.0,0.318243,225.05,628.45,-52.95,,277.1,2.0,1.544998,228.12,129.45,-53.28,,16.2,5.0,70.42577,326.78,11.56,-28.64,,0.35,,,,,,
2023-01-11,763.86,2255.45,64.17,2.93,17943.26,2.0,0.047532,445.82,8563.92,-52.27,,1389.39,2.0,0.318243,242.16,628.45,-54.77,,284.8,2.0,1.544998,240.02,129.45,-54.55,,16.36,5.0,70.42577,338.04,11.56,-29.34,,0.37,2.0,1210.006348,225.55,0.19,-50.0,"ENTRY @ 0.37 (small green CHoCH, margin $225.55 [10% of portfolio total $2255.45] @ 2x [ADX 40.0, zone red], 1210.006348 units)"
2023-01-12,763.86,2329.93,74.48,3.3,18846.62,2.0,0.047532,488.76,8563.92,-54.56,,1415.92,2.0,0.318243,250.61,628.45,-55.62,,287.7,2.0,1.544998,244.5,129.45,-55.01,,16.59,5.0,70.42577,354.24,11.56,-30.32,,0.37,2.0,1210.006348,227.97,0.19,-50.27,
2023-01-13,763.86,2534.96,205.03,8.8,19930.01,2.0,0.047532,540.25,8563.92,-57.03,,1451.2,2.0,0.318243,261.83,628.45,-56.69,,293.7,2.0,1.544998,253.77,129.45,-55.92,,18.29,5.0,70.42577,473.97,11.56,-36.8,,0.39,2.0,1210.006348,241.28,0.19,-51.68,
2023-01-14,763.86,3063.23,528.27,20.84,20954.92,2.0,0.047532,588.97,8563.92,-59.13,,1549.9,2.0,0.318243,293.25,628.45,-59.45,,305.1,2.0,1.544998,271.38,129.45,-57.57,,24.24,5.0,70.42577,893.0,11.56,-52.31,,0.4,2.0,1210.006348,252.77,0.19,-52.85,
