date,open,high,low,close,volume,pct_change,ema12,ema20,ema26,az_bullish,adx14,di_plus,di_minus,big_swing_high,big_swing_low,big_pivot_label,big_break,small_swing_high,small_swing_low,small_pivot_label,small_break,structure_action,a_liquidate_price,a_pct_liquidate,a_leverage,a_position_size,a_notional,a_total,a_pnl,a_pct_pnl,a_margin,a_position,a_unrealized,a_realized,a_action,b_liquidate_price,b_pct_liquidate,b_leverage,b_position_size,b_notional,b_total,b_pnl,b_pct_pnl,b_margin,b_position,b_unrealized,b_realized,b_action
2022-07-12,33.42,34.61,32.6,32.68,3202970.4,-2.21,35.61,35.97,36.57,False,15.05,17.88,23.3,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-13,32.69,35.08,31.82,34.94,4798032.13,6.92,35.5,35.87,36.45,False,15.17,16.68,23.34,,,,,,31.82,HL,,SMALL LH confirmed @ 39.72,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-14,34.94,37.31,33.58,37.15,5214767.02,6.33,35.76,36.0,36.5,False,14.36,19.98,21.55,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-15,37.14,39.1,36.49,37.36,4440629.04,0.57,36.0,36.13,36.56,False,13.71,22.64,20.38,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-16,37.36,40.41,36.35,39.58,3945225.2,5.94,36.55,36.45,36.78,False,13.54,23.44,18.67,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-17,39.59,41.09,38.29,38.62,3795951.41,-2.43,36.87,36.66,36.92,False,13.6,23.49,17.57,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-18,38.61,44.07,38.55,43.52,6300282.95,12.69,37.89,37.31,37.41,True,14.52,26.87,15.63,,,,,,,,BULL_CHOCH,SMALL HL confirmed @ 31.82 | SMALL BULL CHOCH @ 43.52 (level 39.72),39.17,-10.0,5.0,229.779412,10000.0,2000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,"ENTRY @ 43.52 (small green CHoCH, margin $1000.00 [50% of bank] @ 10x [ADX 14.5, zone green], 229.779412 units)",,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-19,43.52,47.36,42.54,44.87,7876651.82,3.1,38.97,38.03,37.96,True,16.12,30.77,14.16,,,,,47.36,,HH,,,39.17,-12.71,4.46,229.779412,10310.2,2310.2,310.2,15.51,1310.2,1031.02,279.18,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-20,44.87,46.3,41.24,42.04,6380441.74,-6.31,39.44,38.42,38.26,True,17.05,27.8,15.27,,,,,,,,,,39.17,-6.83,5.82,229.779412,9659.93,1659.93,-650.28,-28.15,659.93,965.99,-306.07,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-21,42.03,44.24,39.64,43.11,6134099.29,2.55,40.0,38.86,38.62,True,17.26,25.41,16.95,,,,,,,,,,39.17,-9.14,5.2,229.779412,9905.79,1905.79,245.86,14.81,905.79,990.58,-84.79,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-22,43.1,44.33,40.03,40.54,4495729.55,-5.96,40.09,39.02,38.77,True,17.48,23.55,15.6,,,,,,,,,,39.17,-3.38,7.08,229.779412,9315.26,1315.26,-590.53,-30.99,315.26,931.53,-616.27,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-23,40.54,41.91,38.6,39.97,3421971.49,-1.41,40.07,39.11,38.85,True,17.09,22.09,17.31,,,,,,,,,,,,,,,1000.0,-315.26,-23.97,0.0,0.0,,1000.0,"** LIQUIDATION EVENT ** @ 39.17 (margin wiped, realized -1000.00)",,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-24,39.97,42.1,39.47,40.93,3327219.47,2.4,40.2,39.29,39.01,True,16.8,21.34,16.44,,,,,,,,,SMALL HH confirmed @ 47.36,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-25,40.93,41.09,36.56,36.65,4237919.99,-10.46,39.66,39.03,38.83,True,15.78,19.51,20.52,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-26,36.66,36.84,34.67,36.25,4496178.57,-1.09,39.13,38.77,38.64,True,15.44,18.69,23.34,,,,,,34.67,HL,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-27,36.26,40.55,35.68,40.23,5860676.17,10.98,39.3,38.91,38.76,True,14.79,24.02,21.17,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-28,40.23,44.15,39.03,42.91,6754342.15,6.66,39.86,39.29,39.07,True,15.12,28.41,19.16,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-29,42.92,44.42,41.13,41.91,4949319.15,-2.33,40.17,39.54,39.28,True,15.49,27.17,17.98,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-30,41.92,46.65,41.41,43.84,5388479.3,4.61,40.74,39.95,39.62,True,16.36,28.64,16.26,,,,,46.65,,LH,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-31,43.84,45.21,42.22,42.35,3287571.37,-3.4,40.98,40.18,39.82,True,17.16,27.05,15.36,,,,,,,,,SMALL HL confirmed @ 34.67,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-01,42.34,43.26,40.57,41.65,3302835.44,-1.65,41.09,40.32,39.95,True,17.24,25.67,17.71,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-02,41.65,42.45,39.5,39.79,3598240.96,-4.47,40.89,40.27,39.94,True,16.92,24.21,18.76,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-03,39.78,40.99,37.43,38.54,8391441.54,-3.14,40.53,40.1,39.84,True,15.88,22.54,21.47,,,,,,37.43,HL,,BIG LL confirmed @ 25.86,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-04,38.54,39.85,37.96,38.83,4151096.9,0.75,40.27,39.98,39.76,True,14.92,21.69,20.66,,,,,,,,,SMALL LH confirmed @ 46.65,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-05,38.83,41.33,38.71,40.55,3510687.91,4.43,40.31,40.04,39.82,True,14.52,23.55,19.55,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-06,40.55,40.89,39.85,40.07,1600652.0,-1.18,40.27,40.04,39.84,True,14.14,23.02,19.12,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-07,40.07,41.57,39.21,40.6,1745897.7,1.32,40.32,40.09,39.9,True,14.03,23.32,18.13,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-08,40.6,43.71,40.55,42.18,3823749.6,3.89,40.61,40.29,40.07,True,14.6,26.41,16.87,,,,,,,,,SMALL HL confirmed @ 37.43,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-09,42.17,42.76,39.73,40.33,2832475.74,-4.39,40.57,40.3,40.09,True,14.76,24.64,17.55,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-10,40.34,42.87,39.15,42.47,4467794.94,5.31,40.86,40.5,40.26,True,14.64,22.64,17.39,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-11,42.47,45.32,42.34,42.77,5808859.44,0.71,41.15,40.72,40.45,True,15.31,26.54,16.25,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-12,42.78,45.49,42.12,45.48,3376989.68,6.34,41.82,41.17,40.82,True,15.83,24.58,15.53,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-13,45.49,48.38,45.27,46.6,4706648.94,2.46,42.55,41.69,41.25,True,17.12,29.26,14.47,48.38,,LH,,48.38,,HH,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-14,46.59,48.06,44.46,44.87,3476179.16,-3.71,42.91,41.99,41.52,True,17.91,26.96,15.1,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-15,44.86,47.24,42.75,43.72,4145114.74,-2.56,43.03,42.16,41.68,True,17.84,24.38,17.3,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-16,43.72,44.31,42.53,43.08,3604735.73,-1.46,43.04,42.24,41.78,True,17.68,23.43,17.1,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-17,43.08,44.75,40.18,40.54,4207333.0,-5.9,42.66,42.08,41.69,True,16.54,21.14,20.46,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-18,40.54,41.67,39.31,39.52,2839363.98,-2.52,42.17,41.84,41.53,True,15.57,20.05,21.3,,,,,,,,,SMALL HH confirmed @ 48.38,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-19,39.51,39.59,35.25,35.81,6209609.03,-9.39,41.2,41.26,41.11,True,15.98,18.19,28.0,,,,,,,,BEAR_CHOCH,SMALL BEAR CHOCH @ 35.81 (level 37.43),,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-20,35.82,37.27,34.21,35.28,3873077.48,-1.48,40.29,40.69,40.68,False,16.63,17.0,28.39,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-21,35.28,37.09,34.51,36.47,3184917.72,3.37,39.7,40.29,40.36,False,17.23,16.04,26.79,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-22,36.48,36.56,33.73,35.41,3740448.14,-2.91,39.04,39.83,40.0,False,18.02,15.04,26.84,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-23,35.42,36.11,34.24,35.68,2736678.36,0.76,38.52,39.43,39.68,False,18.74,14.4,25.7,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-24,35.69,36.4,34.31,34.89,2588768.41,-2.21,37.96,39.0,39.32,False,19.26,14.37,24.45,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-25,34.9,36.49,34.87,35.27,2472099.5,1.09,37.55,38.64,39.02,False,19.68,14.03,23.49,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-26,35.26,35.79,31.36,31.72,5268727.97,-10.07,36.65,37.98,38.48,False,21.12,12.58,29.24,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-27,31.72,32.25,30.86,31.53,3025394.15,-0.6,35.86,37.37,37.97,False,22.58,12.16,29.47,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-28,31.53,32.21,30.19,30.44,2245087.33,-3.46,35.03,36.71,37.41,False,24.11,11.55,29.65,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-29,30.43,32.64,30.0,32.42,3758900.71,6.5,34.63,36.3,37.04,False,25.25,11.86,27.7,,,,,,30.0,LL,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-30,32.42,33.16,30.64,31.47,3466845.37,-2.93,34.14,35.84,36.63,False,25.96,12.42,25.95,,,,,33.16,,LH,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-08-31,31.47,32.95,31.18,31.5,2705795.29,0.1,33.74,35.43,36.25,False,26.62,11.85,24.76,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-01,31.49,31.79,30.44,31.61,2304167.56,0.35,33.41,35.06,35.9,False,27.49,11.42,25.85,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-02,31.61,32.38,30.76,31.23,2327194.21,-1.2,33.07,34.7,35.56,False,27.86,12.54,24.69,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-03,31.23,31.29,30.8,31.12,773414.2,-0.35,32.77,34.36,35.23,False,28.2,12.36,24.34,,,,,,,,,SMALL LL confirmed @ 30.00,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-04,31.11,32.2,31.02,32.16,1302960.75,3.34,32.68,34.15,35.0,False,27.83,14.68,23.46,,,,,,,,,SMALL LH confirmed @ 33.16,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-05,32.17,32.5,31.15,32.18,1545295.72,0.06,32.6,33.96,34.79,False,27.26,15.0,22.47,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-06,32.17,33.9,30.44,30.88,4663061.68,-4.04,32.34,33.67,34.5,False,25.78,17.67,20.12,,,,,,,,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-07,30.88,32.94,30.31,32.69,2516005.51,5.86,32.39,33.57,34.37,False,24.48,16.27,18.92,,,,,,30.31,HL,,,,,,,,1000.0,0.0,0.0,0.0,0.0,,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-08,32.7,33.98,31.97,33.61,3062370.54,2.81,32.58,33.58,34.31,False,22.86,18.43,17.77,,,,,,,,BULL_CHOCH,SMALL BULL CHOCH @ 33.61 (level 33.16),16.8,-50.0,1.0,29.75305,1000.0,1000.0,0.0,0.0,500.0,500.0,0.0,500.0,"ENTRY @ 33.61 (small green CHoCH, margin $500.00 [50% of bank] @ 2x [ADX 22.9, zone red], 29.753050 units)",,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-09,33.62,35.96,33.59,34.67,3748304.0,3.15,32.9,33.68,34.34,False,22.42,23.11,16.49,,,,,,,,,,16.8,-51.53,1.0,29.75305,1031.54,1031.54,31.54,3.15,531.54,515.77,15.77,500.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-10,34.68,35.41,34.27,35.03,1977630.96,1.04,33.23,33.81,34.39,False,22.01,22.28,15.9,,,,,,,,,,16.8,-52.03,1.0,29.75305,1042.25,1042.25,10.71,1.04,542.25,521.12,21.12,500.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-11,35.04,36.0,34.04,34.99,1999936.19,-0.11,33.5,33.92,34.43,False,21.93,22.77,14.91,,,,,,,,,,16.8,-51.97,1.0,29.75305,1041.06,1041.06,-1.19,-0.11,541.06,520.53,20.53,500.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-12,34.99,38.39,34.4,37.44,5186842.63,7.0,34.11,34.26,34.66,False,22.86,27.23,13.12,,,,,,,,,SMALL HL confirmed @ 30.31,16.8,-55.11,1.0,29.75305,1113.95,1113.95,72.89,7.0,613.95,556.98,56.98,500.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-13,37.44,39.01,32.93,33.0,6401715.44,-11.86,33.94,34.14,34.53,False,22.71,22.75,14.94,,,,,39.01,,HH,,,16.8,-49.08,1.0,29.75305,981.85,981.85,-132.1,-11.86,481.85,490.93,-9.07,500.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-14,33.0,34.35,32.67,34.12,3170484.22,3.39,33.96,34.14,34.5,False,22.4,21.68,14.96,,,,,,,,,,16.8,-50.75,1.0,29.75305,1015.17,1015.17,33.32,3.39,515.17,507.59,7.59,500.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-15,34.12,34.84,32.42,33.07,3696318.23,-3.08,33.83,34.03,34.4,False,22.33,21.59,13.95,,,,,,,,,,16.8,-49.18,1.0,29.75305,983.93,983.93,-31.24,-3.08,483.93,491.97,-8.03,500.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-09-16,33.08,33.26,31.5,32.25,2180222.56,-2.48,33.58,33.86,34.24,False,21.65,20.5,15.88,,,,,,,,,,16.8,-47.89,1.0,29.75305,959.54,959.54,-24.4,-2.48,459.54,479.77,-20.23,500.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
