date,open,high,low,close,volume,pct_change,ema12,ema20,ema26,az_bullish,adx14,di_plus,di_minus,big_swing_high,big_swing_low,big_pivot_label,big_break,small_swing_high,small_swing_low,small_pivot_label,small_break,structure_action,a_liquidate_price,a_pct_liquidate,a_leverage,a_position_size,a_notional,a_total,a_pnl,a_pct_pnl,a_margin,a_position,a_unrealized,a_realized,a_action,b_liquidate_price,b_pct_liquidate,b_leverage,b_position_size,b_notional,b_total,b_pnl,b_pct_pnl,b_margin,b_position,b_unrealized,b_realized,b_action
2022-07-01,0.33,0.34,0.31,0.31,373042743.0,-5.48,0.34,0.34,0.35,False,27.9,16.34,25.23,,,,,0.34,,LH,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-02,0.31,0.32,0.31,0.32,179482724.0,0.54,0.33,0.34,0.35,False,27.48,15.91,24.89,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-03,0.32,0.33,0.31,0.32,194701668.0,1.87,0.33,0.34,0.35,False,26.61,17.34,23.65,,,,,,0.31,HL,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-04,0.32,0.33,0.31,0.33,276890244.0,2.24,0.33,0.34,0.35,False,25.56,17.79,22.57,,,,,,,,,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-05,0.33,0.33,0.31,0.33,332749123.0,-1.06,0.33,0.34,0.34,False,24.66,16.82,21.87,,,,,,,,,SMALL HL confirmed @ 0.31,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-06,0.33,0.33,0.32,0.33,295359140.0,2.21,0.33,0.34,0.34,False,23.64,17.02,20.92,,,,,,,,,SMALL LH confirmed @ 0.34,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-07,0.33,0.35,0.33,0.34,261063763.0,2.95,0.33,0.34,0.34,False,21.95,19.67,19.69,,,,,,,,BULL_CHOCH,SMALL BULL CHOCH @ 0.34 (level 0.34),0.17,-50.0,1.0,5844.535359,2000.0,2000.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,"ENTRY @ 0.34 (small green CHoCH, margin $1000.00 [50% of bank] @ 2x [ADX 22.0, zone red], 5844.535359 units)",,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-08,0.34,0.36,0.34,0.34,383269941.0,-0.58,0.33,0.34,0.34,False,21.12,22.46,18.26,,,,,0.36,,HH,,SMALL HL confirmed @ 0.31,0.17,-49.71,1.0,5844.535359,1988.31,1988.31,-11.69,-0.58,988.31,994.16,-5.84,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-09,0.34,0.35,0.34,0.34,131799232.0,1.35,0.34,0.34,0.34,False,20.35,21.83,17.75,,,,,,,,,,0.17,-50.38,1.0,5844.535359,2015.2,2015.2,26.88,1.35,1015.2,1007.6,7.6,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
2022-07-10,0.34,0.34,0.32,0.33,240237163.0,-5.6,0.33,0.34,0.34,False,19.33,20.04,22.64,,,,,,,,,,0.17,-47.43,1.0,5844.535359,1902.4,1902.4,-112.8,-5.6,902.4,951.2,-48.8,1000.0,,,,,,,2000.0,0.0,0.0,0.0,0.0,,2000.0,
